City,Job Title,Job Link,Company Name,Company Link,Location,Salary,Job Views,Time of Post,Job Description,Skills Required,Job Industry,Functional Area,Total Positions,Job Shift,Job Type,Job Location,Gender,Minimum Education,Career Level,Minimum Experience,Apply Before,Posting Date
Islamabad,Junior to Mid Project Coordinator,https://www.rozee.pk/junior-to-mid-project-coordinator-islamabad-jobs-1741736?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741736&utm_campaign=ROZEE.PK_job_search,Zeki Expert Solutions,javascript:;,Islamabad,"PKR. 100,000 - 100,000/Month",30 views,Posted 8 hours ago,Null,"Project Management, Agile, Waterfall, SCRUM, Asana, Trello, JIRA, MS Project, Communication, Leadership, Organizational Skills, Risk Management, Stakeholder Communication, Project Planning, Team Coordination",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,Bachelors,Entry Level,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Assistant Branch Manager,https://www.rozee.pk/pakson-international-plastic-industries-assistant-branch-manager-islamabad-jobs-1741672?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741672&utm_campaign=ROZEE.PK_job_search,Pakson International Plastic Industries,//www.rozee.pk/company/pakson-international-plastic-industries,Islamabad,"PKR. 30,000 - 40,000/Month",73 views,Posted 8 hours ago,Null,"Communication Skills, Branch Accounting, Branch Handling, Branch Support., Branch Administration Skills, Branch Banking, Branch Management, Opening Branch Offices",Manufacturing,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Intermediate/A-Level,Entry Level,1 Year,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Call Center Representative,https://www.rozee.pk/dna-bpo-solutions-pvt-ltd-call-center-representative-islamabad-jobs-1740584?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1740584&utm_campaign=ROZEE.PK_job_search,DNA BPO Solutions Pvt Ltd,//www.rozee.pk/company/dna-bpo-solutions-pvt-ltd,Islamabad,"PKR. 50,000 - 70,000/Month",145 views,Posted Yesterday,Null,"Communication Skills, Fluent in Engslish, Call Control, Call Headlining, Call Center Development",BPO,Client Services & Customer Support,5 Posts,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Intermediate/A-Level,Experienced Professional,2 Years,"Nov 28, 2025","Oct 28, 2025"
Islamabad,Front Desk Officer (Night Shift),https://www.rozee.pk/front-desk-officer-night-shift-islamabad-jobs-1741698?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741698&utm_campaign=ROZEE.PK_job_search,Mars Consulting,javascript:;,Islamabad,"PKR. 90,000 - 90,000/Month",43 views,Posted 9 hours ago,Null,"Front Desk Operations, Customer Service, Hospitality, Security Protocols, Meeting logistics coordination, Communication handling, Visitor Management, Clerical Duties, Inventory Management, Office supply ordering, Record Keeping",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,Bachelors,Entry Level,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Maintenance Supervisor,https://www.rozee.pk/maintenance-supervisor-islamabad-jobs-1741692?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741692&utm_campaign=ROZEE.PK_job_search,Vibractive,javascript:;,Islamabad,"PKR. 70,000 - 70,000/Month",29 views,Posted 9 hours ago,Null,"Electrical wiring troubleshooting, HVAC System Maintenance, UPS and solar power system maintenance, Preventive Maintenance, Emergency maintenance response, Repair of rides and arcade machines, Record Keeping, Workshop safety and organization",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,Diploma,Entry Level,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Executive Secretary,https://www.rozee.pk/digital-business-world-pvt-ltd-executive-secretary-islamabad-jobs-1741624?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741624&utm_campaign=ROZEE.PK_job_search,Digital Business World Pvt Ltd,//www.rozee.pk/company/digital-business-world-pvt-ltd,Islamabad,N/A,59 views,Posted 9 hours ago,Null,"MS Office, Computer Proficient, Typing Skills",Construction / Cement / Metals,"Secretarial, Clerical & Front Office",1 Post,First Shift (Day),Full Time/Permanent,Islamabad,Female,Intermediate/A-Level,Entry Level,N/A,"Nov 30, 2025","Oct 29, 2025"
Islamabad,Senior Cybersecurity Operations Engineering Manager,https://www.rozee.pk/senior-cybersecurity-operations-engineering-manager-islamabad-jobs-1741590?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741590&utm_campaign=ROZEE.PK_job_search,Careem,javascript:;,Islamabad,N/A,7 views,Posted 9 hours ago,Null,"Threat Intelligence Platforms, and Response (SOAR), Security Orchestration, Automation, Incident Response, Machine Learning, Cross-functional Collaboration, EDR, Cloud Security, Security Operations, Threat Hunting, Security Information and Event Management (SIEM), Endpoint Detection and Response (EDR), security tools management, SIEM, AI, Cybersecurity, Network Security, Leadership, SOAR platforms",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,N/A,Manager,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Partnership Officer,https://www.rozee.pk/partnership-officer-islamabad-jobs-1741574?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741574&utm_campaign=ROZEE.PK_job_search,Save the Children,javascript:;,Islamabad,N/A,33 views,Posted 9 hours ago,Null,"Partnership Management, Due Diligence, Capacity Assessments, Organizational assessments, Compliance reviews, Analytical Skills, Report Writing, Localization, Risk Management, English Fluency, Urdu Fluency, Local languages (Punjabi, Pashto) preferred, Partner Assessment and Due Diligence tools, Humanitarian Coordination, Grant and sub-award management",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,Master,Mid-Level,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Temporary Register,https://www.rozee.pk/temporary-register-islamabad-jobs-1741562?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741562&utm_campaign=ROZEE.PK_job_search,Australian Government,javascript:;,Islamabad,N/A,49 views,Posted 9 hours ago,Null,"Administrative Support, Corporate Support, Driving, responsiveness to short-notice staffing, Professionalism, Confidentiality, Compliance with policies and procedures",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,Bachelors,Entry Level,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Assistant Manager Brand Communications (MARCOMS) Dte,https://www.rozee.pk/assistant-manager-brand-communications-marcoms-dte-islamabad-jobs-1741548?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741548&utm_campaign=ROZEE.PK_job_search,NUST,javascript:;,Islamabad,N/A,31 views,Posted 9 hours ago,Null,"Content Development, Editing, Brand Communication, Writing, Content Production, Marketing Communication, Communication Strategy, Data-Driven Storytelling, Editing and Proofreading, trend evaluation, Reporting and Monitoring",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,Bachelors,Entry Level,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Construction Coordinator,https://www.rozee.pk/construction-coordinator-islamabad-jobs-1741540?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741540&utm_campaign=ROZEE.PK_job_search,Save the Children,javascript:;,Islamabad,N/A,35 views,Posted 9 hours ago,Null,"Report writing and communication in English and, Participatory design approaches, Community-based construction, climate-resilient design principles, gender-sensitive, Knowledge of child-friendly, Team-Building, Coordination, Leadership, Construction and infrastructure project, MS Project or equivalent software, AutoCad, and logistics management, Budget, Contractor, Shelter and community infrastructure programmes, Post-disaster rehabilitation",N/A,N/A,1 Post,First Shift (Day),First Shift (Day),Islamabad,No Preference,Bachelors,Entry Level,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Social Media Moderator,https://www.rozee.pk/abacus-consulting-social-media-moderator-islamabad-jobs-1741094?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741094&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Abacus Consulting,//www.rozee.pk/company/abacus-consulting,Islamabad,"PKR. 40,000 - 45,000/Month",50 views,Posted Yesterday,Null,"Customer Satisfaction Management, Handling Customer Interactions, Social Media Chat Support",Information Technology,Client Services & Customer Support,10 Posts,Rotating,Full Time/Permanent,Islamabad,Male,Bachelors,Entry Level,N/A,"Nov 28, 2025","Oct 28, 2025"
Islamabad,Senior Accountant,https://www.rozee.pk/latimer-accounting-senior-accountant-islamabad-rawalpindi-jobs-1741524?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741524&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Latimer Accounting,//www.rozee.pk/company/latimer-accounting,Multiple Cities,"PKR. 100,000 - 125,000/Month",171 views,Posted 10 hours ago,Null,"Financial Statements, Reconciliation, Accounts  Administration, Taxation",N/A,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Rawalpindi",No Preference,Bachelors,Experienced Professional,2 Years,"Nov 30, 2025","Oct 29, 2025"
Islamabad,Research Intern - AI / ML,https://www.rozee.pk/intelligent-robotics-research-intern-ai-ml-jobs-1741516?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741516&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Intelligent Robotics,//www.rozee.pk/company/intelligent-robotics,Islamabad,N/A,28 views,Posted 10 hours ago,Null,"Engineer, Computer Vision, ML, AI, Programming, Automation Languages Command, Research Skills",Artificial Intelligence (AI),Artificial Intelligence (AI),1 Post,Work from Home,Internship,Islamabad,No Preference,Bachelors,Intern/Student,Fresh,"Nov 30, 2025","Oct 29, 2025"
Islamabad,Automation Marketing Tech Assistant,https://www.rozee.pk/awaremed-automation-marketing-tech-assistant-islamabad-karachi-lahore-jobs-1741432?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741432&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,AWAREmed,//www.rozee.pk/company/awaremed,Multiple Cities,"PKR. 100,000 - 200,000/Month",30 views,Posted 10 hours ago,Null,"Copywriting & Funnel Messaging Alignment, Zapier & API Integration, Email Marketing, SMS & Voicemail Automation, Workflow & Pipeline Automation, Lead Nurturing & Drip Campaigns, Appointment Scheduling Automation, Marketing Analytics & Dashboard Reporting, Reputation Management Automation, Funnel Building (Landing Pages & Triggers, CRM Data Management & Hygiene, QA Testing Automations, Asana Project Management, GHL Builder), Basic Graphic Design (Canva, Strong Written & Spoken English Communication, Time Management, Problem Solving",N/A,Marketing,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Karachi, Lahore",No Preference,N/A,Experienced Professional,3 Years,"Nov 30, 2025","Oct 29, 2025"
Islamabad,Electrical Technician,https://www.rozee.pk/awami-trade-center-islamabad-electrical-technician-islamabad-jobs-1741418?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741418&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Awami Trade Center Islamabad,//www.rozee.pk/company/awami-trade-center-islamabad,Islamabad,"PKR. 45,000 - 50,000/Month",20 views,Posted 10 hours ago,Null,"Building Electricann, Genrator Operator, Motors Starter, Troubleshooting Of Ats",N/A,Maintenance/Repair,1 Post,First Shift (Day),Full Time/Permanent,Islamabad,Male,Diploma,Experienced Professional,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Sales / Call Agent,https://www.rozee.pk/xtreme-detailing-ppf-studio-sales-call-agent-islamabad-jobs-1741460?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741460&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Xtreme Detailing PPF Studio,//www.rozee.pk/company/xtreme-detailing-ppf-studio,Islamabad,"PKR. 35,000 - 150,000/Month",32 views,Posted 10 hours ago,Null,"Query Language, Deal Closure, Customer Serivce Skills, End-to-End Sale, Retail Sales",AutoMobile,Sales & Business Development,6 Posts,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Bachelors,Entry Level,N/A,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Senior HR Officer,https://www.rozee.pk/job/detail/1741504?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741504&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Null,Null,Islamabad,N/A,273 views,Posted 10 hours ago,Null,"Leadership Skills, Communication Skills, Organizational Skills",N.G.O./Social Services,Human Resources,1 Post,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Masters,Experienced Professional,5 Years (In similar role),"Nov 21, 2025","Oct 29, 2025"
Islamabad,Null,https://www.rozee.pk/novacare-hospitals-pvt-ltd-senior-manager-radiology-islamabad-jobs-1741496?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741496&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Null,Null,Null,N/A,Null,Null,Null,Null,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Islamabad,Trade Officer,https://www.rozee.pk/knox-solar-pvt-ltd-trade-officer-islamabad-jobs-1741494?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741494&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Knox Solar Pvt Ltd,//www.rozee.pk/company/knox-solar-pvt-ltd,Islamabad,"PKR. 80,000 - 90,000/Month",46 views,Posted 11 hours ago,Null,"Trade Compliance, Remittances and Trade Finance, Foreign Trade Policy, Trade Operations",Electronics,Supply Chain Management,3 Posts,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Bachelors,Experienced Professional,3 Years,"Nov 29, 2025","Oct 29, 2025"
Islamabad,Null,https://www.rozee.pk/novacare-hospitals-pvt-ltd-laboratory-manager-islamabad-jobs-1741488?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741488&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Null,Null,Null,N/A,Null,Null,Null,Null,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Islamabad,SEO Expert,https://www.rozee.pk/transport-link-uk-and-europe-ltd-seo-expert-islamabad-jobs-1741480?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741480&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Transport link Uk and Europe ltd,//www.rozee.pk/company/transport-link-uk-and-europe-ltd,Islamabad,"PKR. 100,000 - 200,000/Month",22 views,Posted 11 hours ago,Null,"Content Creator, Seo Submission, SEO Engine Ranking",N/A,Search Engine Optimization (SEO),1 Post,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Masters,Experienced Professional,N/A,"Nov 30, 2025","Oct 29, 2025"
Islamabad,Amazon Account Management Trainee,https://www.rozee.pk/milky-ways-trading-amazon-account-management-trainee-islamabad-karachi-lahore-jobs-1741440?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741440&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Milky Ways Trading,//www.rozee.pk/company/milky-ways-trading,Multiple Cities,N/A,70 views,Posted 11 hours ago,Null,"Google  Spreadsheets Knowledge, Tech Savvy, Problem Solving Skills, Communication Skills, Fluent in English, Researching, MS Excel",E-Commerce / E- Business,Marketing,1 Post,Third Shift (Night),Full Time/Permanent,"Islamabad, Karachi, Lahore",No Preference,Intermediate/A-Level,Entry Level,Fresh,"Nov 30, 2025","Oct 29, 2025"
Islamabad,Outreach Executive,https://www.rozee.pk/times-tx-gmbh-outreach-executive-islamabad-karachi-lahore-peshawar-quetta-jobs-1741434?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741434&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Times TX GmbH,//www.rozee.pk/company/times-tx-gmbh,Multiple Cities,N/A,68 views,Posted 11 hours ago,Null,"Sales Operations, Data Analytics, Lead Qualification, Outreach Services, Time Management, Communication Skills",N/A,Sales & Business Development,2 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Karachi, Lahore, Peshawar, Quetta",No Preference,Bachelors,Entry Level,1 Year,"Nov 30, 2025","Oct 29, 2025"
Islamabad,Sales Executive - Shipping / Freight Forwarding,https://www.rozee.pk/easyways-international-sales-executive-shipping-freight-forwarding-islamabad-faisalabad-lahore-jobs-1741416?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741416&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Easyways International,//www.rozee.pk/company/easyways-international,Multiple Cities,"PKR. 50,000 - 100,000/Month",149 views,Posted 22 hours ago,Null,"Market Knowledge, Ocean Freight Management, Air Freight  Management",Shipping / Marine,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Faisalabad, Lahore",No Preference,Bachelors,Experienced Professional,3 Years,"Nov 28, 2025","Oct 28, 2025"
Islamabad,Accountant,https://www.rozee.pk/int-dublin-tax-company-ltd-accountant-islamabad-jobs-1741408?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741408&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,INT Dublin Tax Company Ltd,//www.rozee.pk/company/int-dublin-tax-company-ltd,Islamabad,N/A,241 views,Posted 22 hours ago,Null,"Accounting+, Sage, Zoho, Sage Accounts, Sage 50, Sage Pro, Quick Books, Business Central",Accounting / Taxation,"Accounts, Finance & Financial Services",5 Posts,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Non-Matriculation,Experienced Professional,2 Years,"Nov 28, 2025","Oct 28, 2025"
Islamabad,Office Boy,https://www.rozee.pk/work-together-office-boy-islamabad-jobs-1741210?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1741210&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,Work Together,//www.rozee.pk/company/work-together,Islamabad,"PKR. 30,000 - 40,000/Month",130 views,Posted 22 hours ago,Null,"Analytical Skills, Running Errands, Office Support",Recruitment / Employment Firms,Distribution & Logistics,1 Post,First Shift (Day),Full Time/Permanent,Islamabad,No Preference,Matriculation/O-Level,Entry Level,Fresh,"Nov 28, 2025","Oct 28, 2025"
Islamabad,Sales Representative,https://www.rozee.pk/penta-motive-sales-representative-islamabad-rawalpindi-jobs-1737388?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1737388&utm_campaign=ROZEE.PK_job_search&utm_term=undefined,PENTA MOTIVE,//www.rozee.pk/company/penta-motive,Multiple Cities,"PKR. 35,000 - 125,000/Month",250 views,Posted 5 days ago,Null,"Computer Profcient, Fluent in English, Decision Analysis",Call Center,Sales & Business Development,4 Posts,Third Shift (Night),Full Time/Permanent,"Islamabad, Rawalpindi",No Preference,Matriculation/O-Level,Entry Level,N/A,"Nov 01, 2025","Oct 24, 2025"
